wealth_human,expenditure_consumption,expenditure_tax,consumption_propensity,new_savings,cash_on_hand_real_desired,cash_on_hand_desired,cash_on_hand_current,saving_propensity,saving_propensity_optimist,saving_propensity_pessimist,income_current,income_average,income_wage,income_unemployment_benefit,income_gov_transfers,income_firm_owner_dividend,unemployed,reservation_wage,unemp_duration,unemp_duration_upper_bound,positive_sentiment,business_owner,c_f,c_h,c_excess_money,p_majority_op_adoption
23051,0,0,0.474313,0,0,0,0,0.191438,0.191438,0.291438,0,0,0,0,0,0,0,0,0,9,1,0,0.482875,0.191438,0.291438,0.0970295
94071,0,0,0.75969,0,0,0,0,0.286563,0.286563,0.386563,0,0,0,0,0,0,0,0,0,13,1,0,0.673126,0.286563,0.386563,0.39063
18759,0,0,0.385272,0,0,0,0,0.161757,0.161757,0.261757,0,0,0,0,0,0,0,0,0,8,1,0,0.423515,0.161757,0.261757,0.27907
23708,0,0,0.605473,0,0,0,0,0.235158,0.235158,0.335158,0,0,0,0,0,0,0,0,0,11,1,0,0.570315,0.235158,0.335158,0.268734
69311,0,0,0.521803,0,0,0,0,0.207268,0.207268,0.307268,0,0,0,0,0,0,0,0,0,10,1,0,0.514535,0.207268,0.307268,0.490824
75826,0,0,0.514051,0,0,0,0,0.204684,0.204684,0.304684,0,0,0,0,0,0,0,0,0,10,1,0,0.509367,0.204684,0.304684,0.302204
44051,0,0,0.680618,0,0,0,0,0.260206,0.260206,0.360206,0,0,0,0,0,0,0,0,0,12,1,0,0.620412,0.260206,0.360206,0.111608
57128,0,0,0.539153,0,0,0,0,0.213051,0.213051,0.313051,0,0,0,0,0,0,0,0,0,10,1,0,0.526102,0.213051,0.313051,0.586286
51418,0,0,0.396206,0,0,0,0,0.165402,0.165402,0.265402,0,0,0,0,0,0,0,0,0,8,1,0,0.430804,0.165402,0.265402,0.109595
20455,0,0,0.752214,0,0,0,0,0.284071,0.284071,0.384071,0,0,0,0,0,0,0,0,0,13,1,0,0.668143,0.284071,0.384071,0.28504
53022,0,0,0.394696,0,0,0,0,0.164899,0.164899,0.264899,0,0,0,0,0,0,0,0,0,8,1,0,0.429797,0.164899,0.264899,0.304835
24721,0,0,0.52628,0,0,0,0,0.20876,0.20876,0.30876,0,0,0,0,0,0,0,0,0,10,1,0,0.51752,0.20876,0.30876,0.0773871
3412,0,0,0.541126,0,0,0,0,0.213709,0.213709,0.313709,0,0,0,0,0,0,0,0,0,10,1,0,0.527417,0.213709,0.313709,0.487246
88831,0,0,0.37054,0,0,0,0,0.156847,0.156847,0.256847,0,0,0,0,0,0,0,0,0,8,1,0,0.413694,0.156847,0.256847,0.513308
57768,0,0,0.677935,0,0,0,0,0.259312,0.259312,0.359312,0,0,0,0,0,0,0,0,0,12,1,0,0.618623,0.259312,0.359312,0.386207
8380,0,0,0.697481,0,0,0,0,0.265827,0.265827,0.365827,0,0,0,0,0,0,0,0,0,12,1,0,0.631654,0.265827,0.365827,0.438513
10514,0,0,0.602155,0,0,0,0,0.234052,0.234052,0.334052,0,0,0,0,0,0,0,0,0,11,1,0,0.568103,0.234052,0.334052,0.415673
55987,0,0,0.641385,0,0,0,0,0.247128,0.247128,0.347128,0,0,0,0,0,0,0,0,0,11,1,0,0.594256,0.247128,0.347128,0.132056
19021,0,0,0.624255,0,0,0,0,0.241418,0.241418,0.341418,0,0,0,0,0,0,0,0,0,11,1,0,0.582837,0.241418,0.341418,0.291821
9796,0,0,0.411542,0,0,0,0,0.170514,0.170514,0.270514,0,0,0,0,0,0,0,0,0,8,1,0,0.441028,0.170514,0.270514,0.422091
26431,0,0,0.531366,0,0,0,0,0.210455,0.210455,0.310455,0,0,0,0,0,0,0,0,0,10,1,0,0.52091,0.210455,0.310455,0.308884
10737,0,0,0.629068,0,0,0,0,0.243023,0.243023,0.343023,0,0,0,0,0,0,0,0,0,11,1,0,0.586046,0.243023,0.343023,0.156625
31884,0,0,0.544163,0,0,0,0,0.214721,0.214721,0.314721,0,0,0,0,0,0,0,0,0,10,1,0,0.529442,0.214721,0.314721,0.223652
108959,0,0,0.429969,0,0,0,0,0.176656,0.176656,0.276656,0,0,0,0,0,0,0,0,0,9,1,0,0.453313,0.176656,0.276656,0.565325
48356,0,0,0.249682,0,0,0,0,0.116561,0.116561,0.216561,0,0,0,0,0,0,0,0,0,6,1,0,0.333122,0.116561,0.216561,0.0916577
47122,0,0,0.480239,0,0,0,0,0.193413,0.193413,0.293413,0,0,0,0,0,0,0,0,0,9,1,0,0.486826,0.193413,0.293413,0.0655368
5014,0,0,0.736494,0,0,0,0,0.278831,0.278831,0.378831,0,0,0,0,0,0,0,0,0,13,1,0,0.657662,0.278831,0.378831,0.0405405
14362,0,0,0.381243,0,0,0,0,0.160414,0.160414,0.260414,0,0,0,0,0,0,0,0,0,8,1,0,0.420829,0.160414,0.260414,0.161607
26509,0,0,0.361653,0,0,0,0,0.153884,0.153884,0.253884,0,0,0,0,0,0,0,0,0,8,1,0,0.407768,0.153884,0.253884,0.441074
56931,0,0,0.342905,0,0,0,0,0.147635,0.147635,0.247635,0,0,0,0,0,0,0,0,0,7,1,0,0.39527,0.147635,0.247635,0.243522
55065,0,0,0.433706,0,0,0,0,0.177902,0.177902,0.277902,0,0,0,0,0,0,0,0,0,9,1,0,0.455804,0.177902,0.277902,0.252056
57227,0,0,0.643306,0,0,0,0,0.247769,0.247769,0.347769,0,0,0,0,0,0,0,0,0,11,1,0,0.595537,0.247769,0.347769,0.433952
19748,0,0,0.495141,0,0,0,0,0.19838,0.19838,0.29838,0,0,0,0,0,0,0,0,0,9,1,0,0.496761,0.19838,0.29838,0.286085
65945,0,0,0.501542,0,0,0,0,0.200514,0.200514,0.300514,0,0,0,0,0,0,0,0,0,10,1,0,0.501028,0.200514,0.300514,0.249187
24733,0,0,0.637964,0,0,0,0,0.245988,0.245988,0.345988,0,0,0,0,0,0,0,0,0,11,1,0,0.591976,0.245988,0.345988,0.315725
67222,0,0,0.199383,0,0,0,0,0.0997943,0.0997943,0.199794,0,0,0,0,0,0,0,0,0,5,1,0,0.299589,0.0997943,0.199794,0.165663
125448,0,0,0.527064,0,0,0,0,0.209021,0.209021,0.309021,0,0,0,0,0,0,0,0,0,10,1,0,0.518043,0.209021,0.309021,0.20181
21926,0,0,0.49939,0,0,0,0,0.199797,0.199797,0.299797,0,0,0,0,0,0,0,0,0,9,1,0,0.499593,0.199797,0.299797,0.252952
2792,0,0,0.549294,0,0,0,0,0.216431,0.216431,0.316431,0,0,0,0,0,0,0,0,0,10,1,0,0.532862,0.216431,0.316431,0.337538
173368,0,0,0.436747,0,0,0,0,0.178916,0.178916,0.278916,0,0,0,0,0,0,0,0,0,9,1,0,0.457832,0.178916,0.278916,0.202845
58205,0,0,0.463857,0,0,0,0,0.187952,0.187952,0.287952,0,0,0,0,0,0,0,0,0,9,1,0,0.475905,0.187952,0.287952,0.645837
16733,0,0,0.137239,0,0,0,0,0.0790797,0.0790797,0.17908,0,0,0,0,0,0,0,0,0,5,1,0,0.258159,0.0790797,0.17908,0.403426
62901,0,0,0.502214,0,0,0,0,0.200738,0.200738,0.300738,0,0,0,0,0,0,0,0,0,10,1,0,0.501476,0.200738,0.300738,0.398492
29309,0,0,0.565653,0,0,0,0,0.221884,0.221884,0.321884,0,0,0,0,0,0,0,0,0,10,1,0,0.543769,0.221884,0.321884,0.230058
29895,0,0,0.464633,0,0,0,0,0.188211,0.188211,0.288211,0,0,0,0,0,0,0,0,0,9,1,0,0.476422,0.188211,0.288211,0.26745
25705,0,0,0.14517,0,0,0,0,0.0817235,0.0817235,0.181723,0,0,0,0,0,0,0,0,0,5,1,0,0.263447,0.0817235,0.181723,0.316039
49969,0,0,0.796878,0,0,0,0,0.298959,0.298959,0.398959,0,0,0,0,0,0,0,0,0,13,1,0,0.697919,0.298959,0.398959,0.437727
32485,0,0,0.61507,0,0,0,0,0.238357,0.238357,0.338357,0,0,0,0,0,0,0,0,0,11,1,0,0.576713,0.238357,0.338357,0.430262
9956,0,0,0.611369,0,0,0,0,0.237123,0.237123,0.337123,0,0,0,0,0,0,0,0,0,11,1,0,0.574246,0.237123,0.337123,0.438909
66416,0,0,0.485044,0,0,0,0,0.195015,0.195015,0.295015,0,0,0,0,0,0,0,0,0,9,1,0,0.490029,0.195015,0.295015,0.0983592
24233,0,0,0.513087,0,0,0,0,0.204362,0.204362,0.304362,0,0,0,0,0,0,0,0,0,10,1,0,0.508725,0.204362,0.304362,0.0411043
36723,0,0,0.54953,0,0,0,0,0.21651,0.21651,0.31651,0,0,0,0,0,0,0,0,0,10,1,0,0.53302,0.21651,0.31651,0.288995
15287,0,0,0.640795,0,0,0,0,0.246932,0.246932,0.346932,0,0,0,0,0,0,0,0,0,11,1,0,0.593864,0.246932,0.346932,0.473782
19172,0,0,0.635196,0,0,0,0,0.245065,0.245065,0.345065,0,0,0,0,0,0,0,0,0,11,1,0,0.590131,0.245065,0.345065,0.308933
7620,0,0,0.641681,0,0,0,0,0.247227,0.247227,0.347227,0,0,0,0,0,0,0,0,0,11,1,0,0.594454,0.247227,0.347227,0.47889
22604,0,0,0.386269,0,0,0,0,0.16209,0.16209,0.26209,0,0,0,0,0,0,0,0,0,8,1,0,0.42418,0.16209,0.26209,0.191074
20044,0,0,0.343328,0,0,0,0,0.147776,0.147776,0.247776,0,0,0,0,0,0,0,0,0,7,1,0,0.395552,0.147776,0.247776,0.133906
6125,0,0,0.529247,0,0,0,0,0.209749,0.209749,0.309749,0,0,0,0,0,0,0,0,0,10,1,0,0.519498,0.209749,0.309749,0.711793
37838,0,0,0.171735,0,0,0,0,0.0905785,0.0905785,0.190578,0,0,0,0,0,0,0,0,0,5,1,0,0.281157,0.0905785,0.190578,0.0800238
7828,0,0,0.667836,0,0,0,0,0.255945,0.255945,0.355945,0,0,0,0,0,0,0,0,0,12,1,0,0.611891,0.255945,0.355945,0.13756
62385,0,0,0.544199,0,0,0,0,0.214733,0.214733,0.314733,0,0,0,0,0,0,0,0,0,10,1,0,0.529466,0.214733,0.314733,0.297705
27463,0,0,0.671667,0,0,0,0,0.257222,0.257222,0.357222,0,0,0,0,0,0,0,0,0,12,1,0,0.614445,0.257222,0.357222,0.0194621
70569,0,0,0.455806,0,0,0,0,0.185269,0.185269,0.285269,0,0,0,0,0,0,0,0,0,9,1,0,0.470537,0.185269,0.285269,0.221169
34308,0,0,0.41293,0,0,0,0,0.170977,0.170977,0.270977,0,0,0,0,0,0,0,0,0,8,1,0,0.441953,0.170977,0.270977,0.903475
2324,0,0,0.262596,0,0,0,0,0.120866,0.120866,0.220866,0,0,0,0,0,0,0,0,0,6,1,0,0.341731,0.120866,0.220866,0.442821
4063,0,0,0.202132,0,0,0,0,0.100711,0.100711,0.200711,0,0,0,0,0,0,0,0,0,6,1,0,0.301422,0.100711,0.200711,0.276936
39621,0,0,0.846345,0,0,0,0,0.315448,0.315448,0.415448,0,0,0,0,0,0,0,0,0,14,1,0,0.730897,0.315448,0.415448,0.461606
234,0,0,0.372518,0,0,0,0,0.157506,0.157506,0.257506,0,0,0,0,0,0,0,0,0,8,1,0,0.415012,0.157506,0.257506,0.327239
83674,0,0,0.41567,0,0,0,0,0.17189,0.17189,0.27189,0,0,0,0,0,0,0,0,0,8,1,0,0.44378,0.17189,0.27189,0.162146
41114,0,0,0.535778,0,0,0,0,0.211926,0.211926,0.311926,0,0,0,0,0,0,0,0,0,10,1,0,0.523852,0.211926,0.311926,0.145941
40763,0,0,0.327097,0,0,0,0,0.142366,0.142366,0.242366,0,0,0,0,0,0,0,0,0,7,1,0,0.384731,0.142366,0.242366,0.113022
23511,0,0,0.478377,0,0,0,0,0.192792,0.192792,0.292792,0,0,0,0,0,0,0,0,0,9,1,0,0.485585,0.192792,0.292792,0.32958
39674,0,0,0.644616,0,0,0,0,0.363369,0.363369,0.463369,0,0,0,0,0,0,0,0,0,16,1,0,0.826738,0.363369,0.463369,0.19956
44171,0,0,0.520202,0,0,0,0,0.248205,0.248205,0.348205,0,0,0,0,0,0,0,0,0,11,1,0,0.59641,0.248205,0.348205,0.158476
70777,0,0,0.658704,0,0,0,0,0.206734,0.206734,0.306734,0,0,0,0,0,0,0,0,0,10,1,0,0.513468,0.206734,0.306734,0.139871
29214,0,0,0.557929,0,0,0,0,0.252901,0.252901,0.352901,0,0,0,0,0,0,0,0,0,12,1,0,0.605803,0.252901,0.352901,0.0573968
90325,0,0,0.43411,0,0,0,0,0.21931,0.21931,0.31931,0,0,0,0,0,0,0,0,0,10,1,0,0.53862,0.21931,0.31931,0.31282
16959,0,0,0.421956,0,0,0,0,0.178037,0.178037,0.278037,0,0,0,0,0,0,0,0,0,9,1,0,0.456073,0.178037,0.278037,0.409878
33666,0,0,0.397266,0,0,0,0,0.173985,0.173985,0.273985,0,0,0,0,0,0,0,0,0,8,1,0,0.447971,0.173985,0.273985,0.339941
73290,0,0,0.559685,0,0,0,0,0.165755,0.165755,0.265755,0,0,0,0,0,0,0,0,0,8,1,0,0.431511,0.165755,0.265755,0.0765786
66185,0,0,0.46217,0,0,0,0,0.219895,0.219895,0.319895,0,0,0,0,0,0,0,0,0,10,1,0,0.53979,0.219895,0.319895,0.0134749
62510,0,0,0.431357,0,0,0,0,0.18739,0.18739,0.28739,0,0,0,0,0,0,0,0,0,9,1,0,0.47478,0.18739,0.28739,0.249826
48295,0,0,0.417404,0,0,0,0,0.177119,0.177119,0.277119,0,0,0,0,0,0,0,0,0,9,1,0,0.454238,0.177119,0.277119,0.475666
67157,0,0,0.355548,0,0,0,0,0.172468,0.172468,0.272468,0,0,0,0,0,0,0,0,0,8,1,0,0.444936,0.172468,0.272468,0.306934
158196,0,0,0.547115,0,0,0,0,0.151849,0.151849,0.251849,0,0,0,0,0,0,0,0,0,8,1,0,0.403698,0.151849,0.251849,0.356895
318,0,0,0.619909,0,0,0,0,0.215705,0.215705,0.315705,0,0,0,0,0,0,0,0,0,10,1,0,0.53141,0.215705,0.315705,0.27115
60268,0,0,0.567456,0,0,0,0,0.23997,0.23997,0.33997,0,0,0,0,0,0,0,0,0,11,1,0,0.579939,0.23997,0.33997,0.0200709
20241,0,0,0.369934,0,0,0,0,0.222485,0.222485,0.322485,0,0,0,0,0,0,0,0,0,10,1,0,0.544971,0.222485,0.322485,0.286691
93497,0,0,0.275564,0,0,0,0,0.156645,0.156645,0.256645,0,0,0,0,0,0,0,0,0,8,1,0,0.413289,0.156645,0.256645,0.240483
29941,0,0,0.271745,0,0,0,0,0.125188,0.125188,0.225188,0,0,0,0,0,0,0,0,0,7,1,0,0.350376,0.125188,0.225188,0.300417
44148,0,0,0.322606,0,0,0,0,0.123915,0.123915,0.223915,0,0,0,0,0,0,0,0,0,6,1,0,0.34783,0.123915,0.223915,0.290179
41785,0,0,0.49987,0,0,0,0,0.140869,0.140869,0.240869,0,0,0,0,0,0,0,0,0,7,1,0,0.381737,0.140869,0.240869,0.0282502
56280,0,0,0.66925,0,0,0,0,0.199957,0.199957,0.299957,0,0,0,0,0,0,0,0,0,9,1,0,0.499913,0.199957,0.299957,0.234503
13272,0,0,0.542701,0,0,0,0,0.256417,0.256417,0.356417,0,0,0,0,0,0,0,0,0,12,1,0,0.612833,0.256417,0.356417,0.361354
60549,0,0,0.580171,0,0,0,0,0.214234,0.214234,0.314234,0,0,0,0,0,0,0,0,0,10,1,0,0.528467,0.214234,0.314234,0.241313
6898,0,0,0.515863,0,0,0,0,0.226724,0.226724,0.326724,0,0,0,0,0,0,0,0,0,11,1,0,0.553447,0.226724,0.326724,0.198867
5230,0,0,0.327553,0,0,0,0,0.205288,0.205288,0.305288,0,0,0,0,0,0,0,0,0,10,1,0,0.510575,0.205288,0.305288,0.18631
102071,0,0,0.527518,0,0,0,0,0.142518,0.142518,0.242518,0,0,0,0,0,0,0,0,0,7,1,0,0.385035,0.142518,0.242518,0.459541
71679,0,0,0.492862,0,0,0,0,0.209173,0.209173,0.309173,0,0,0,0,0,0,0,0,0,10,1,0,0.518345,0.209173,0.309173,0.319854
66810,0,0,0.537813,0,0,0,0,0.197621,0.197621,0.297621,0,0,0,0,0,0,0,0,0,9,1,0,0.495241,0.197621,0.297621,0.0776042
16828,0,0,0.530134,0,0,0,0,0.212604,0.212604,0.312604,0,0,0,0,0,0,0,0,0,10,1,0,0.525209,0.212604,0.312604,0.49228
22734,0,0,0.333688,0,0,0,0,0.210045,0.210045,0.310045,0,0,0,0,0,0,0,0,0,10,1,0,0.520089,0.210045,0.310045,0.347235
8707,0,0,0.488377,0,0,0,0,0.144563,0.144563,0.244563,0,0,0,0,0,0,0,0,0,7,1,0,0.389125,0.144563,0.244563,0.2193
17910,0,0,0.249161,0,0,0,0,0.196126,0.196126,0.296126,0,0,0,0,0,0,0,0,0,9,1,0,0.492251,0.196126,0.296126,0.155542
2070,0,0,0.583516,0,0,0,0,0.116387,0.116387,0.216387,0,0,0,0,0,0,0,0,0,6,1,0,0.332774,0.116387,0.216387,0.0306172
60186,0,0,0.493485,0,0,0,0,0.227839,0.227839,0.327839,0,0,0,0,0,0,0,0,0,11,1,0,0.555677,0.227839,0.327839,0.204955
79135,0,0,0.46165,0,0,0,0,0.197828,0.197828,0.297828,0,0,0,0,0,0,0,0,0,9,1,0,0.495657,0.197828,0.297828,0.226252
2679,0,0,0.452233,0,0,0,0,0.187217,0.187217,0.287217,0,0,0,0,0,0,0,0,0,9,1,0,0.474433,0.187217,0.287217,0.368487
78221,0,0,0.657156,0,0,0,0,0.184078,0.184078,0.284078,0,0,0,0,0,0,0,0,0,9,1,0,0.468155,0.184078,0.284078,0.210937
86511,0,0,0.280257,0,0,0,0,0.252385,0.252385,0.352385,0,0,0,0,0,0,0,0,0,12,1,0,0.604771,0.252385,0.352385,0.125573
47338,0,0,0.55239,0,0,0,0,0.126752,0.126752,0.226752,0,0,0,0,0,0,0,0,0,7,1,0,0.353505,0.126752,0.226752,0.132189
54897,0,0,0.370703,0,0,0,0,0.217463,0.217463,0.317463,0,0,0,0,0,0,0,0,0,10,1,0,0.534927,0.217463,0.317463,0.17027
67424,0,0,0.68171,0,0,0,0,0.156901,0.156901,0.256901,0,0,0,0,0,0,0,0,0,8,1,0,0.413802,0.156901,0.256901,0.203485
68039,0,0,0.572927,0,0,0,0,0.26057,0.26057,0.36057,0,0,0,0,0,0,0,0,0,12,1,0,0.62114,0.26057,0.36057,0.544698
35110,0,0,0.476975,0,0,0,0,0.224309,0.224309,0.324309,0,0,0,0,0,0,0,0,0,10,1,0,0.548618,0.224309,0.324309,0.120216
52180,0,0,0.253651,0,0,0,0,0.192325,0.192325,0.292325,0,0,0,0,0,0,0,0,0,9,1,0,0.48465,0.192325,0.292325,0.0163024
36808,0,0,0.310068,0,0,0,0,0.117884,0.117884,0.217884,0,0,0,0,0,0,0,0,0,6,1,0,0.335767,0.117884,0.217884,0.374457
42097,0,0,0.429156,0,0,0,0,0.136689,0.136689,0.236689,0,0,0,0,0,0,0,0,0,7,1,0,0.373379,0.136689,0.236689,0.373056
75399,0,0,0.335463,0,0,0,0,0.176385,0.176385,0.276385,0,0,0,0,0,0,0,0,0,9,1,0,0.452771,0.176385,0.276385,0.304044
305,0,0,0.466216,0,0,0,0,0.145154,0.145154,0.245154,0,0,0,0,0,0,0,0,0,7,1,0,0.390309,0.145154,0.245154,0.368696
59204,0,0,0.482189,0,0,0,0,0.188739,0.188739,0.288739,0,0,0,0,0,0,0,0,0,9,1,0,0.477477,0.188739,0.288739,0.16781
44471,0,0,0.588865,0,0,0,0,0.194063,0.194063,0.294063,0,0,0,0,0,0,0,0,0,9,1,0,0.488126,0.194063,0.294063,0.386687
43621,0,0,0.470703,0,0,0,0,0.229622,0.229622,0.329622,0,0,0,0,0,0,0,0,0,11,1,0,0.559243,0.229622,0.329622,0.493109
44872,0,0,0.40668,0,0,0,0,0.190234,0.190234,0.290234,0,0,0,0,0,0,0,0,0,9,1,0,0.480469,0.190234,0.290234,0.326856
28632,0,0,0.411642,0,0,0,0,0.168893,0.168893,0.268893,0,0,0,0,0,0,0,0,0,8,1,0,0.437787,0.168893,0.268893,0.202585
25901,0,0,0.440203,0,0,0,0,0.170547,0.170547,0.270547,0,0,0,0,0,0,0,0,0,8,1,0,0.441094,0.170547,0.270547,0.571302
39798,0,0,0.465114,0,0,0,0,0.180068,0.180068,0.280068,0,0,0,0,0,0,0,0,0,9,1,0,0.460135,0.180068,0.280068,0.277839
58934,0,0,0.721024,0,0,0,0,0.188371,0.188371,0.288371,0,0,0,0,0,0,0,0,0,9,1,0,0.476743,0.188371,0.288371,0.344665
42539,0,0,0.402662,0,0,0,0,0.273675,0.273675,0.373675,0,0,0,0,0,0,0,0,0,12,1,0,0.647349,0.273675,0.373675,0.503163
62755,0,0,0.192935,0,0,0,0,0.167554,0.167554,0.267554,0,0,0,0,0,0,0,0,0,8,1,0,0.435108,0.167554,0.267554,0.202697
50930,0,0,0.324727,0,0,0,0,0.0976449,0.0976449,0.197645,0,0,0,0,0,0,0,0,0,5,1,0,0.29529,0.0976449,0.197645,0.474743
66705,0,0,0.593343,0,0,0,0,0.141576,0.141576,0.241576,0,0,0,0,0,0,0,0,0,7,1,0,0.383151,0.141576,0.241576,0.460043
82042,0,0,0.592292,0,0,0,0,0.231114,0.231114,0.331114,0,0,0,0,0,0,0,0,0,11,1,0,0.562228,0.231114,0.331114,0.158125
16692,0,0,0.540533,0,0,0,0,0.230764,0.230764,0.330764,0,0,0,0,0,0,0,0,0,11,1,0,0.561528,0.230764,0.330764,0.403181
27756,0,0,0.589022,0,0,0,0,0.213511,0.213511,0.313511,0,0,0,0,0,0,0,0,0,10,1,0,0.527022,0.213511,0.313511,0.47863
17914,0,0,0.438357,0,0,0,0,0.229674,0.229674,0.329674,0,0,0,0,0,0,0,0,0,11,1,0,0.559348,0.229674,0.329674,0.842785
89554,0,0,0.602515,0,0,0,0,0.179452,0.179452,0.279453,0,0,0,0,0,0,0,0,0,9,1,0,0.458905,0.179452,0.279453,0.211275
117112,0,0,0.682332,0,0,0,0,0.234172,0.234172,0.334172,0,0,0,0,0,0,0,0,0,11,1,0,0.568343,0.234172,0.334172,0.07137
75628,0,0,0.557642,0,0,0,0,0.0351182,0.0351182,0.135118,0,0,0,0,0,0,0,0,0,3,1,0,0.170236,0.0351182,0.135118,0.451075
71039,0,0,0.464439,0,0,0,0,0.260777,0.260777,0.360777,0,0,0,0,0,0,0,0,0,12,1,0,0.621555,0.260777,0.360777,0.290964
1156,0,0,0.740977,0,0,0,0,0.219214,0.219214,0.319214,0,0,0,0,0,0,0,0,0,10,1,0,0.538428,0.219214,0.319214,0.583992
669,0,0,0.520879,0,0,0,0,0.188146,0.188146,0.288146,0,0,0,0,0,0,0,0,0,9,1,0,0.476293,0.188146,0.288146,0.162832
67140,0,0,0.570999,0,0,0,0,0.280326,0.280326,0.380326,0,0,0,0,0,0,0,0,0,13,1,0,0.660651,0.280326,0.380326,0.329767
7672,0,0,0.689872,0,0,0,0,0.20696,0.20696,0.30696,0,0,0,0,0,0,0,0,0,10,1,0,0.51392,0.20696,0.30696,0.386593
21993,0,0,0.464522,0,0,0,0,0.223666,0.223666,0.323666,0,0,0,0,0,0,0,0,0,10,1,0,0.547333,0.223666,0.323666,0.377142
76104,0,0,0.668557,0,0,0,0,0.263291,0.263291,0.363291,0,0,0,0,0,0,0,0,0,12,1,0,0.626581,0.263291,0.363291,0.435122
66334,0,0,0.657533,0,0,0,0,0.188174,0.188174,0.288174,0,0,0,0,0,0,0,0,0,9,1,0,0.476348,0.188174,0.288174,0.263088
14363,0,0,0.431094,0,0,0,0,0.256186,0.256186,0.356186,0,0,0,0,0,0,0,0,0,12,1,0,0.612372,0.256186,0.356186,0.4522
49446,0,0,0.614886,0,0,0,0,0.252511,0.252511,0.352511,0,0,0,0,0,0,0,0,0,12,1,0,0.605022,0.252511,0.352511,0.102921
45285,0,0,0.671473,0,0,0,0,0.177031,0.177031,0.277031,0,0,0,0,0,0,0,0,0,9,1,0,0.454063,0.177031,0.277031,0.237593
70289,0,0,0.470956,0,0,0,0,0.238295,0.238295,0.338295,0,0,0,0,0,0,0,0,0,11,1,0,0.576591,0.238295,0.338295,0.23092
68766,0,0,0.366027,0,0,0,0,0.257158,0.257158,0.357158,0,0,0,0,0,0,0,0,0,12,1,0,0.614315,0.257158,0.357158,0.618287
98195,0,0,0.650806,0,0,0,0,0.348196,0.348196,0.448196,0,0,0,0,0,0,0,0,0,15,1,0,0.796392,0.348196,0.448196,0.496718
15376,0,0,0.530723,0,0,0,0,0.190319,0.190319,0.290319,0,0,0,0,0,0,0,0,0,9,1,0,0.480637,0.190319,0.290319,0.477243
17473,0,0,0.750494,0,0,0,0,0.155342,0.155342,0.255343,0,0,0,0,0,0,0,0,0,8,1,0,0.410685,0.155342,0.255343,0.02577
13709,0,0,0.434624,0,0,0,0,0.250269,0.250269,0.350269,0,0,0,0,0,0,0,0,0,12,1,0,0.600537,0.250269,0.350269,0.277313
45002,0,0,0.559825,0,0,0,0,0.210241,0.210241,0.310241,0,0,0,0,0,0,0,0,0,10,1,0,0.520482,0.210241,0.310241,0.300938
6874,0,0,0.602445,0,0,0,0,0.283498,0.283498,0.383498,0,0,0,0,0,0,0,0,0,13,1,0,0.666996,0.283498,0.383498,0.244832
